Site,Date,Transect,Position (m),depth_cm,width_cm,no_abs,shell_debris,Investigators,Entered by,Checked by,Date Entered,Date Checked
Point Pinos,02032026,4,19.5,50,105,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,4,16,60,185,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,4,14,60,60,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,4,12.2,50,100,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,4,4.2,60,120,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,4,2.8,125,155,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,5,18.5,45,100,1,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,5,18.2,100,140,0,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,5,17.4,60,120,1,Y,"SF, KK",OC,,31826,
Point Pinos,02032026,5,8.4,55,80,0,Y,"SF, KK",OC,,31826,
Point Pinos,27022026,2,0,21,8,0,Y,"TY, SA, SS","NB, KG",,18032026,
Point Pinos,27022026,1,14.5,100,15,0,Y,Rooney,MM,ZP,18032026,18032026
Point Pinos,27022026,3,11,40,15,0,Y,"TY, SA",MM,ZP,18032026,18032026
Carmel Point ,04192026,4,1.9,40,15,0,N,Ash ,TY,,22042026,
Carmel Point ,04192026,4,6.4,30,7,0,N,Ash ,TY,,22042026,
Carmel Point ,04192026,4,8.8,15,7,0,N,Ash ,TY,,22042026,
Carmel Point ,04192026,4,12.7,40,6,0,N,Ash ,TY,,22042026,
Carmel Point ,04192026,4,15.1,40,25,0,N,Ash ,TY,,22042026,
Carmel Point ,04192026,4,17.9,55,15,0,N,Ash ,TY,,22042026,
Cannery Row,21042026,1,0,0,0,0,N,Lily,GM,,22042026,
Carmel Point ,04192026,5,4.9,30,18,0,N,Ash ,TY,,22042026,
Carmel Point ,04192026,5,15.9,25,8,0,N,Ash ,TY,,22042026,
Cannery Row,21042026,4,20,15,12,0,N,Ash,GM,,22042026,
Soberanes,20042026,4,0,0,0,0,N,Ash ,GM,,22042026,
Soberanes,20042026,3,0,0,0,0,N,Ash,GM,,22042026,
Hopkins,22042026,1,13.8,15,10,0,Y,Lily,LM,LB,22042026,
Hopkins,22042026,3,6,20,5,0,Y,Lily,LM,LB,22042026,
Hopkins,22042026,4,5,85,8,11,N,Allison,KG,SA,22042026,22042026
Hopkins,22042026,2,0,0,0,0,N,Lily,LM,LB,22042026,
Cannery Row,21042026,2,6.1,55,15,0,N,AJH,LM,LB,22042026,
Cannery Row,21042026,2,19.9,35,15,0,N,AJH,LM,LB,22042026,
Cannery Row,21042026,3,12.5,35,10,0,N,AJH,LM,LB,22042026,
Cannery Row,21042026,3,11.2,40,7,0,N,AJH,LM,LB,22042026,
Cannery Row,21042026,3,2.1,30,11,0,N,AJH,LM,LB,22042026,
