Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,0-5,5-10,10-15,15-20,20-25,25-30,Investigator,Entered By,Check By ,Date Checked,Notes
Pt Pinos,02032026,4,,,36.63845,121.93726,S. purpuratus,23,79,57,19,0,0,"Makenna, Zach",Makenna,Zach,18032026,
Pt Pinos,02032026,4,,,36.63845,121.93726,P. miniata,1,8,0,1,0,0,"Makenna, Zach",Makenna,Zach,18032026,
Pt Pinos,02032026,4,,,36.63845,121.93726,P. ochraceus,0,0,0,0,0,0,"Makenna, Zach",Makenna,Zach,18032026,
Pt Pinos,02032026,5,,,36.63845,121.93726,S. purpuratus,50,31,20,20,0,0,"Lily, Parker, Samreen, Sara",Lily ,Emilio,18032026,
Pt Pinos,02032026,5,,,36.63845,121.93726,P. ochraceus,0,0,0,0,0,0,"Lily, Parker, Samreen, Sara",Lily ,Emilio,18032026,
Pt Pinos,02032026,5,,,36.63845,121.93726,P. miniata,1,3,0,4,0,0,"Lily, Parker, Samreen, Sara",Lily ,Emilio,18032026,
Pt Pinos,02272026,1,36.637967,121.936717,36.638083,121.936817,S. purpuratus,24,19,47,92,0,0,"Lily, Laney, KR, AR",Makenna,Zach,18032026,
Pt Pinos,02272026,1,36.637967,121.936717,36.638083,121.936817,P. miniata,2,2,3,0,0,0,"Lily, Laney, KR, AR",Makenna,Zach,18032026,
Pt Pinos,02272026,1,36.637967,121.936717,36.638083,121.936817,P. ochraceus,0,0,0,0,0,0,"Lily, Laney, KR, AR",Makenna,Zach,18032026,
Carmel Point,01032026,2,36.544133,-121.933667,36.543967,-121.933867,S. purpuratus,90,102,184,410,0,0,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,01032026,2,36.544133,-121.933667,36.543967,-121.933867,P. miniata,0,1,5,3,0,0,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,01032026,2,36.544133,-121.933667,36.543967,-121.933867,P. ochraceus,0,0,0,0,0,0,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,01032026,1,36.7166,-121.939444,36.713889,-121.940556,P. miniata,1,0,1,0,0,0,,,,,
Carmel Point,01032026,1,36.7166,-121.939444,36.713889,-121.940556,S. purpuratus,164,327,238,872,0,0,,,,,
Carmel Point,01032026,1,36.7166,-121.939444,36.713889,-121.940556,P. ochraceus,0,0,0,0,0,,,,,,
Carmel Point,01032026,3,,,,,,,,,,,,,,,,
Carmel Point,01032026,3,36.5439,-121. 93391,36.54377,-121. 93403,S. purpuratus,95,145,142,75,41,0,"RR, DF, NB",RR,,,
Carmel Point,01032026,3,36.5439,-121. 93392,36.54377,-121. 93404,P. miniata,1,0,0,0,0,0,"RR, DF, NB",RR,,,
