Site,Date ,Transect,start_lat,start_long,end_lat,end_long,Species,Habitat,crevice_depth_cm,crevice_width_cm,position_m,Condition,Size (cm),Transect Side,Distance,Investigator,Entered By,Check By ,Date Checked,Notes
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,8,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. rufescens,rock,65,85,0.7,Good,15,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good ,12,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good,11,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good ,8,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good,6,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,55,20,10.5,Good,8,Land,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
