Site,Date,Transect,Transect length (m),Species,Number of Individuals,Investigator,Checked By 
Cannery Row,11/16/02,1,30,H. cracherodii,0,,
Cannery Row,11/16/02,1,30,S. purpuratus,6,,
Cannery Row,11/16/02,2,30,H. cracherodii,0,,
Cannery Row,11/16/02,2,30,S. purpuratus,4,,
Cannery Row,11/16/02,3,30,H. cracherodii,1,,
Cannery Row,11/16/02,3,30,S. purpuratus,11,,
Cannery Row,11/16/02,4,30,H. cracherodii,1,,
Cannery Row,11/16/02,4,30,S. purpuratus,0,,
Cannery Row,11/16/02,5,30,H. cracherodii,0,,
Cannery Row,11/16/02,5,30,S. purpuratus,1,,
Carmel Bay,11/18/02,1,30,H. cracherodii,67,,
Carmel Bay,11/18/02,1,30,S. purpuratus,0,,
Carmel Bay,11/18/02,2,30,H. cracherodii,39,,
Carmel Bay,11/18/02,2,30,S. purpuratus,1,,
Carmel Bay,11/18/02,3,30,H. cracherodii,31,,
Carmel Bay,11/18/02,3,30,S. purpuratus,1,,
Carmel Bay,11/18/02,4,30,H. cracherodii,47,,
Carmel Bay,11/18/02,4,30,S. purpuratus,2,,
Carmel Bay,11/18/02,5,30,H. cracherodii,35,,
Carmel Bay,11/18/02,5,30,S. purpuratus,4,,
Carmel Bay,11/18/02,6,30,H. cracherodii,21,,
Carmel Bay,11/18/02,6,30,S. purpuratus,8,,
Carmel Bay,11/18/02,7,30,H. cracherodii,1,,
Carmel Bay,11/18/02,7,30,S. purpuratus,2,,
Hopkins,9/8/02,1,30,H. cracherodii,15,,
Hopkins,9/8/02,1,30,S. purpuratus,4,,
Hopkins,9/8/02,2,30,H. cracherodii,3,,
Hopkins,9/8/02,2,30,S. purpuratus,0,,
Hopkins,9/8/02,3,30,H. cracherodii,23,,
Hopkins,9/8/02,3,30,S. purpuratus,31,,
Hopkins,9/8/02,4,30,H. cracherodii,0,,
Hopkins,9/8/02,4,30,S. purpuratus,6,,
Hopkins,9/8/02,5,30,H. cracherodii,5,,
Hopkins,9/8/02,5,30,S. purpuratus,5,,
Hopkins,9/8/02,6,30,H. cracherodii,0,,
Hopkins,9/8/02,6,30,S. purpuratus,0,,
Hopkins,9/8/02,7,30,H. cracherodii,3,,
Hopkins,9/8/02,7,30,S. purpuratus,0,,
Lobos,11/2/02,1,30,H. cracherodii,11,,
Lobos,11/2/02,1,30,S. purpuratus,0,,
Lobos,11/2/02,2,30,H. cracherodii,31,,
Lobos,11/2/02,2,30,S. purpuratus,7,,
Lobos,11/2/02,3,30,H. cracherodii,10,,
Lobos,11/2/02,3,30,S. purpuratus,10,,
Lobos,11/2/02,4,30,H. cracherodii,119,,
Lobos,11/2/02,4,30,S. purpuratus,4,,
Lobos,11/2/02,5,30,H. cracherodii,24,,
Lobos,11/2/02,5,30,S. purpuratus,3,,
Lobos,11/2/02,6,30,H. cracherodii,10,,
Lobos,11/2/02,6,30,S. purpuratus,8,,
Lobos,11/2/02,7,30,H. cracherodii,5,,
Lobos,11/2/02,7,30,S. purpuratus,11,,
Malpaso,10/7/02,1,30,H. cracherodii,42,,
Malpaso,10/7/02,1,30,S. purpuratus,2,,
Malpaso,10/7/02,2,30,H. cracherodii,12,,
Malpaso,10/7/02,2,30,S. purpuratus,9,,
Malpaso,10/7/02,3,30,H. cracherodii,24,,
Malpaso,10/7/02,3,30,S. purpuratus,17,,
Malpaso,10/7/02,4,30,H. cracherodii,16,,
Malpaso,10/7/02,4,30,S. purpuratus,14,,
Malpaso,10/7/02,5,30,H. cracherodii,0,,
Malpaso,10/7/02,5,30,S. purpuratus,1,,
Malpaso,10/7/02,6,30,H. cracherodii,14,,
Malpaso,10/7/02,6,30,S. purpuratus,7,,
Malpaso,10/7/02,7,30,H. cracherodii,33,,
Malpaso,10/7/02,7,30,S. purpuratus,0,,
Pescadero,10/8/02,1,30,H. cracherodii,37,,
Pescadero,10/8/02,1,30,S. purpuratus,1,,
Pescadero,10/8/02,2,30,H. cracherodii,39,,
Pescadero,10/8/02,2,30,S. purpuratus,1,,
Pescadero,10/8/02,3,30,H. cracherodii,23,,
Pescadero,10/8/02,3,30,S. purpuratus,6,,
Pescadero,10/8/02,4,30,H. cracherodii,35,,
Pescadero,10/8/02,4,30,S. purpuratus,7,,
Pescadero,10/8/02,5,30,H. cracherodii,19,,
Pescadero,10/8/02,5,30,S. purpuratus,8,,
Pescadero,10/8/02,6,30,H. cracherodii,114,,
Pescadero,10/8/02,6,30,S. purpuratus,41,,
Pescadero,10/8/02,7,30,H. cracherodii,55,,
Pescadero,10/8/02,7,30,S. purpuratus,9,,
Point Pinos,11/3/02,1,30,H. cracherodii,3,,
Point Pinos,11/3/02,1,30,S. purpuratus,8,,
Point Pinos,11/3/02,2,30,H. cracherodii,0,,
Point Pinos,11/3/02,2,30,S. purpuratus,1,,
Point Pinos,11/3/02,3,30,H. cracherodii,12,,
Point Pinos,11/3/02,3,30,S. purpuratus,4,,
Point Pinos,11/3/02,4,30,H. cracherodii,7,,
Point Pinos,11/3/02,4,30,S. purpuratus,7,,
Point Pinos,11/3/02,5,30,H. cracherodii,24,,
Point Pinos,11/3/02,5,30,S. purpuratus,8,,
Point Pinos,11/3/02,6,30,H. cracherodii,4,,
Point Pinos,11/3/02,6,30,S. purpuratus,13,,
Point Pinos,11/3/02,7,30,H. cracherodii,0,,
Point Pinos,11/3/02,7,30,S. purpuratus,21,,
Soberanes,10/5/02,1,30,H. cracherodii,6,,
Soberanes,10/5/02,1,30,S. purpuratus,5,,
Soberanes,10/5/02,2,30,H. cracherodii,5,,
Soberanes,10/5/02,2,30,S. purpuratus,8,,
Soberanes,10/5/02,3,30,H. cracherodii,28,,
Soberanes,10/5/02,3,30,S. purpuratus,16,,
Soberanes,10/5/02,4,30,H. cracherodii,75,,
Soberanes,10/5/02,4,30,S. purpuratus,12,,
Soberanes,10/5/02,5,30,H. cracherodii,2,,
Soberanes,10/5/02,5,30,S. purpuratus,7,,
Soberanes,10/5/02,6,30,H. cracherodii,10,,
Soberanes,10/5/02,6,30,S. purpuratus,6,,
Soberanes,10/5/02,7,30,H. cracherodii,13,,
Soberanes,10/5/02,7,30,S. purpuratus,3,,
