Site,Date,Transect,Start Lat,Start Long,End Lat ,End Long,Transect length (m),Species,Number of Individuals,Investigator,Checked By 
Cannery Row,20170404,1,36.6137,121.8973,36.61391,121.89748,30,H. cracherodii,1,Kendall/Jessica ,
Cannery Row,20170404,1,36.6137,121.8973,36.61391,121.89748,30,S. purpuratus,69,Kendall/Jessica ,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,30,H. cracherodii,5,Lauren and Michelle,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,30,S. purpuratus,11,Lauren and Michelle,
Cannery Row,20170404,3,36.61401,121.8972,36.61424,121.8979,30,H. cracherodii,0,Kaelyn and Jordan,
Cannery Row,20170404,3,36.61401,121.8972,36.61424,121.8979,30,S. purpuratus,11,Kaelyn and Jordan,
Cannery Row,20170404,4,36.6143,121.89788,36.61457,121.89794,30,H. cracherodii,3,Jose and Austin ,
Cannery Row,20170404,4,36.6143,121.89788,36.61457,121.89794,30,S. purpuratus,6,Jose and Austin ,
Cannery Row,20170404,5,36.61441,121.89798,36.61459,121.89812,30,H. cracherodii,3,Jose and Austin ,
Cannery Row,20170404,5,36.61441,121.89798,36.61459,121.89812,30,S. purpuratus,0,Jose and Austin ,
Cannery Row,20170404,6,36.61331,121.89745,36.61306,121.89751,30,H. cracherodii,0,Courtney and Sarah P.,Courtney
Cannery Row,20170404,6,36.61331,121.89745,36.61306,121.89751,30,S. purpuratus,4,Courtney and Sarah P.,Courtney
Cannery Row,20170404,7,36.61447,121.89782,,,30,H. cracherodii,0,Kaelyn and Jordan,
Cannery Row,20170404,7,36.61447,121.89782,,,30,S. purpuratus,200,Kaelyn and Jordan,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,30,H. cracherodii,8,Agnes and Jordan,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,30,S. purpuratus,0,Agnes and Jordan,
Carmel Bay,20170226,3,36.54403,121.93371,36.54428,121.93359,30,H. cracherodii,0,Andy Michelle,
Carmel Bay,20170226,3,36.54403,121.93371,36.54428,121.93359,30,S. purpuratus,0,Andy Michelle,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,30,H. cracherodii,5,Steven & Kendall,Brandy/Jessica/Kendall
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,30,S. purpuratus,0,Steven & Kendall,Brandy/Jessica/Kendall
Carmel Bay,20170226,5,36.54348,121.93408,36.54375,121.93399,30,H. cracherodii,3,Steven & Kendall,Brandy/Jessica/Kendall
Carmel Bay,20170226,5,36.54348,121.93408,36.54375,121.93399,30,S. purpuratus,0,Steven & Kendall,Brandy/Jessica/Kendall
Carmel Bay,20170226,6,,,36.54379,121.93397,30,H. cracherodii,10,Tishma & Allyson,
Carmel Bay,20170226,6,,,36.54379,121.93397,30,S. purpuratus,0,Tishma & Allyson,
Carmel Bay,20170226,7,36.5473,121.93406,36.5435,121.93414,30,H. cracherodii,3,Courtney and Brandy,
Carmel Bay,20170226,7,36.5473,121.93406,36.5435,121.93414,30,S. purpuratus,0,Courtney and Brandy,
Carmel Bay,20170226,8,36.54344,121.93406,36.5432,121.93387,30,H. cracherodii,1,Courtney and Brandy,
Carmel Bay,20170226,8,36.54344,121.93406,36.5432,121.93387,30,S. purpuratus,0,Courtney and Brandy,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,30,H. cracherodii,11,Sarah P. and Evan,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,30,S. purpuratus,5,Sarah P. and Evan,
Carmel Bay ,20170226,2,36.54347,121.93403,36.54324,121.93386,30,H. cracherodii,3,Agnes and Jordan,
Carmel Bay ,20170226,2,36.54347,121.93403,36.54324,121.93386,30,S. purpuratus,0,Agnes and Jordan,
Hopkins,20170210,1,36.62123,121.90358,36.62143,121.90379,30,H. cracherodii,2,Marlies & Sarah C,
