Site,Date,Transect No,Lat (Start),Long (Start),Lat (End),Long (End),Transect Length,H_cracherodii,H_rufescens,S_purpuratus,M_franciscanus,P_ochraceus,L_aequalis,P_miniata,Investigators,Entered By,Checked By,Notes
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,20,2,0,103,0,0,1,0,"IH, PS",IH,,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,20,1,0,6,0,0,1,0,"DP, EV, EC",IH,,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,25,8,0,32,0,0,0,6,"AJH, KR, SZ",IH,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,20,0,0,0,0,0,0,1,"AJH, KR, SZ",IH,,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,20,0,0,109,0,0,3,2,"KR, EV, ADT",IH,,
Hopkins,20210724,6,36.62172,121.90352,36.62125,121.90372,20,1,0,291,0,4,9,4,"DP, IH, EC",IH,,
Hopkins,20210724,7,36.62176,121.90339,36.62197,121.90342,20,0,0,1777,0,4,0,9,"AJH, PS, LD",IH,,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,20,2,0,149,0,0,0,0,"KR, EV, ADT",IH,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,20,0,0,858,1,9,NA,0,"ADT, LD, DP",KR,,3 diseased urchins
Cannery Row,20210626,2,36.61380,121.89752,36.61392,121.89756,20,0,0,1249,0,0,0,0,"RB, EC, KR",KR,,
Cannery Row,20210626,3,36.61393,121.89761,36.61400,121.89775,20,0,0,4139,0,11,5,1,"IH, PS",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,20,0,0,2622,0,8,0,0,"AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,20,1,0,1585,0,4,0,0,"AJH, EV, PS",KR,,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,20,1,0,2889,0,11,4,0,"IH, EC, DP",IH,,5-10 m was mostly in a pool; 11 diseased urchins
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,20,3,0,6,0,0,1,5,"LD, ADT",ADT,,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,20,16,1,76,0,3,NA,5,"DP,ADT,LD",LD,,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,20,0,0,2,0,0,0,0,"KR, ADT, LD",EV,,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,29,8,2,1559,0,1,24,25,"KR,PS,EC",LD,,10-15 had one diseased Urchin
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,20,1,0,478,0,2,0,1,"PS, EC, EV",EV,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,20,2,1,898,0,0,0,11,AJH,LD,,13.7-15 Underwater
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,20,13,0,17,0,1,10,12,"DP,KR,EV",LD,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,20,6,0,48,0,1,7,13,"PS,IH",LD,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,20,41,3,4686,0,1,23,31,"AH, TM, KR",ADT,,11 Diseased urchins
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,20,11,0,454,0,0,1,37,"IH,PS,EV",LD,,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,20,0,0,126,1,0,10,28,"DP,EC",LD,,"10-15 had Juv. Red Urchin, 2 6 legged bad stars one in 5-10 and one in 10-15"
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,20,1,0,678,0,0,0,11,"EV,EC",LD,,"AJH completed 15-20, tide was comming in. "
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,20,19,3,979,0,0,3,11,"AJH, KR, IH",EV,,
Point Pinos,20210624,4,36.63837,121.93707,NA,NA,20,13,0,837,0,0,0,13,"PS,IH",LD,,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93667,20,9,0,507,0,0,0,52,"KR,ADT",LD,,1 Diseased Urchin and 1 Blue Chiton
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,20,6,0,196,0,0,0,2,"DP,LD",LD,,
Pescadero Point,20210725,2,36.56146,121.954217,36.56128,121.95452,20,8,0,2774,0,2,7,5,"PS,EV,LD",LD,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95447,20,3,1,2604,6,6,13,36,"DP,IH,EC",LD,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,20,5,5,5404,0,0,4,17,"LD,EV,PS",LD,,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,20,9,0,191,0,0,0,2,"AJH, IH, DP",EV,,1 Diseased Urchin
Pescadero Point,20210721,4,36.56119,121.95417,36.560108,121.95408,20,4,1,4331,6,0,13,24,"DP,EC",LD,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,20,13,21,6199,12,7,0,13,"AJH,KR,TM",LD,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,20,21,0,1383,0,1,18,0,"PS, IH",EV,,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,20,5,0,86,0,0,11,0,"EC, ADT, LD",EV,,
Sea Palm ,20210712,4,36.6288,121.92147,36.62897,121.9216,20,1,0,2,0,0,2,0,"DP, EV, KR",EV,,
Carmel Point,20210710,2,36.5441,121.93386,36.54395,121.93394,20,1,0,637,0,0,6,8,"EC, DP, PS",EV,,"Water covering transect, went from 10-12.5m and then 17-22m"
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,20,3,12,1521,0,2,7,54,"EV, KR, DP",EV,,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,20,5,0,637,0,0,12,14,"PS,IH",LD,,
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,20,1,0,1410,0,0,1,46,"LD,ADT",LD,,
Carmel Point,201210710,3,36.54392,121.93395,36.54382,121.93414,20,4,0,254,0,0,0,13,"EV,ADT,LD",LD,,
