Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Status,Habitat,Crevice Depth (cm),Crevice Width (cm),Condition,Position (m),Size (cm),Investigator,Entered By
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,H. cracherodii,Protected,C,10,7,Moderate,19,8,"Caitlin S, Mazie L",Mazie
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,B,5,2.5,Bad,17,6,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,B,45,7,Good,15,11,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,B,55,6,Good,17,7,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,B,55,6,Good,17,10,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,B,15,5,Good,15,6,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,B,15,5,Good,15,7,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,Protected,R,15,2,Good,18.6,4,"Sophie, An, Emma, Alyssa",Henry
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,H. cracherodii,Protected,R,20,8,Moderate,14,6,Emma & Sarah,Sarah
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,H. cracherodii,Protected,R,20,8,Moderate,14,6,Emma & Sarah,Sarah
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,H. cracherodii,Protected,R,20,8,Moderate,14,5,Emma & Sarah,Sarah
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,H. cracherodii,Protected ,R,16,4,Moderate,15.6,10.5,Kaylee and Alyssa,Kaylee
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,H. cracherodii,Protected ,R,30,15,Good,16.4,10,Kaylee and Alyssa,Kaylee
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,5,5,Bad,16.4,10,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,10,5,Moderate,16.8,5,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,10,5,Moderate,16.8,5,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,10,5,Moderate,16.8,15,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,150,7,Good,18.2,10,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,150,7,Good,18.2,15,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,150,7,Good,18.2,8,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,150,7,Good,18.2,8,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,150,7,Good,18.2,8,Gabby and Avery,Avery
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,No,C,150,7,Good,18.2,8,Gabby and Avery,Avery
Cannery Row,2020319,2,36.613780N,121.89746W ,36.61407N,121.89735W,H. cracherodii,No,B,35,60,Bad,11.4,15,Gabby and Gladys,Avery
Cannery Row,2020319,2,36.613780N,121.89746W ,36.61407N,121.89735W,H. cracherodii,No,B,35,60,Bad,11.4,15,Gabby and Gladys,Avery
Cannery Row,2020319,2,36.613780N,121.89746W ,36.61407N,121.89735W,H. cracherodii,No,R,20,15,Moderate,11.4,20,Gabby and Gladys,Avery
Cannery Row,2020319,3,36.61407N,121.89774W,36.61407N,121.89747W,H. cracherodii,No,B,35,15,Good,4.9,4,Alison,Kaylee
Cannery Row,2020319,3,36.61407N,121.89774W,36.61407N,121.89747W,H. cracherodii,No,B,35,15,Good,4.9,8,Alison,Kaylee
