Site,Date,Transect No,Lat (Start),Long (Start),Lat (End),Long (End),Transect Length,Species,Number,Investigators,Entered By,Checked By,Crevice Condition
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,S. purpuratus,175,Gabby and Gladys,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,S. purpuratus,181,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,S. purpuratus,599,Alison,Kaylee,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,S. purpuratus,2325,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,S. purpuratus,215,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,S. purpuratus,414,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,S. purpuratus,456,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,20,S. purpuratus,111,"Sophie, Alyssa, Henry, Nick",Sophie,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,S. purpuratus,1250,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,S. purpuratus,667,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,S. purpuratus,1,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,S. purpuratus,96,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,S. purpuratus,423,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,S. purpuratus,22,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,S. purpuratus,206,Alison and Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,S. purpuratus,13,Taylor and Brooke,Avery,,
