4,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,0-5,5-10,10-15,15-20,20-25,25-30,Investigator,Entered By,Check By ,Date Checked,Notes
Pt Pinos,20230306,2,36.63795N,121.93669W,36.63804N,121.93677W,H. cracherodii,0,0,0,1,0,," Avery M., Gabby M., Mazie, Caitlin",,,,
Pt Pinos,20230306,2,36.63795N,121.93669W,36.63804N,121.93677W,P. ochraceus,0,0,0,0,0,," Avery M., Gabby M., Mazie, Caitlin",,,,
Pt Pinos,20230306,2,36.63795N,121.93669W,36.63804N,121.93677W,P. miniata,0,0,1,0,0,0," Avery M., Gabby M., Mazie, Caitlin",,,,
Pt Pinos,20230306,2,36.63795N,121.93669W,36.63804N,121.93677W,S. purpuratus,14,7,18,46,0,0," Avery M., Gabby M., Mazie, Caitlin",Gabby,,20230306,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,S. purpuratus,5,13,39,8,0,0,"Sophie, An, Emma, Alyssa",Henry,,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,P. ochraceus,0,0,0,1,0,0,"Sophie, An, Emma, Alyssa",Henry,,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,P. miniata,1,1,2,0,0,0,"Sophie, An, Emma, Alyssa",Henry,,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,H. cracherodii,0,0,3,4,0,0,"Sophie, An, Emma, Alyssa",Henry,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,S. purpuratus,4,6,30,          ,0,0,Emma & Sarah,Sarah,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,H. cracherodii,0,0,3,0,0,0,Emma & Sarah,Sarah,,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,S. purpuratus,3,11,5,5,0,0,"Kaylee, Alyssa ",Alyssa,,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,H. cracherodii,0,0,0,2,0,0,"Kaylee, Alyssa ",Kaylee,,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. cracherodii,0,0,0,10,0,,Gabby & Avery ,Avery,,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,S. purpuratus,0,27,79,0,0,,Gabby & Avery ,Avery,,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,S. franciscanus,0,0,0,0,0,,Gabby & Avery ,Avery,,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,H. rufescens,0,0,0,0,0,,Gabby & Avery ,Avery,,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,P. ochraceus,0,0,0,0,0,,Gabby & Avery ,Avery,,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,P. miniata,0,5,3,5,0,,Gabby & Avery ,Avery,,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,H. cracherodii,0,0,3,0,0,,Gabby & Gladys ,Avery,,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,S. purpuratus,151,22,2,0,0,,Gabby & Gladys ,Avery,,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,S. franciscanus,0,0,0,0,0,,Gabby & Gladys ,Avery,,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,P. ochraceus,5,0,0,0,0,,Gabby & Gladys ,Avery,,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,H. rufescens,0,0,0,0,0,,Gabby & Gladys ,Avery,,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,P. miniata,0,1,0,0,0,,Gabby & Gladys ,Avery,,,
Cannery Row,20230419,3,36.61407N,121.89774W,36.61407N,121.89747W,H. cracherodii,8,0,1,0,0,,Alison,Kaylee,,,
Cannery Row,20230419,3,36.61407N,121.89774W,36.61407N,121.89747W,S. purpuratus,62,122,144,271,0,,Alison,Kaylee,,,
Cannery Row,20230419,3,36.61407N,121.89774W,36.61407N,121.89747W,P. ochraceus,0,4,0,2,0,,Alison,Kaylee,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,H. cracherodii,0,0,3,0,0,0,"Sarah, Brooke, Emma",Caitlin,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,S. purpuratus,4,6,30,49,0,0,"Sarah, Brooke, Emma",Caitlin,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,S. franciscanus,0,0,0,0,0,0,"Sarah, Brooke, Emma",Caitlin,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,H. rufescens,0,0,0,0,0,0,"Sarah, Brooke, Emma",Caitlin,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,P. ochraceus,0,0,0,0,0,0,"Sarah, Brooke, Emma",Caitlin,,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,P. miniata,0,0,0,0,0,0,"Sarah, Brooke, Emma",Caitlin,,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,S. purpuratus,2,15,47,34,0,0,"Sarah, An, Cristian, Devynn",Sarah,,,
